@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric

@data
1781,'2024/06/06 14:46:00:488',13,74,69,81,0.9
1782,'2024/06/06 14:46:00:511',13,74,69,81,0.9
1783,'2024/06/06 14:46:00:533',13,74,70,80,0.9
1784,'2024/06/06 14:46:00:555',13,74,70,79,0.9
1785,'2024/06/06 14:46:00:576',13,74,70,79,0.9
1786,'2024/06/06 14:46:00:599',13,74,69,79,0.9
1787,'2024/06/06 14:46:00:624',13,73,69,80,0.9
1788,'2024/06/06 14:46:00:645',13,72,69,79,0.9
1789,'2024/06/06 14:46:00:667',13,72,69,79,0.9
1790,'2024/06/06 14:46:00:689',13,71,70,79,0.9
1791,'2024/06/06 14:46:00:712',13,70,69,79,0.9
1792,'2024/06/06 14:46:00:735',13,70,69,79,0.9
1793,'2024/06/06 14:46:00:754',13,69,70,78,0.9
1794,'2024/06/06 14:46:00:775',13,69,70,78,0.9
1795,'2024/06/06 14:46:01:576',14,10,70,83,0.9
1796,'2024/06/06 14:46:01:606',14,10,73,78,0.9
1797,'2024/06/06 14:46:01:637',14,7,72,81,0.9
1798,'2024/06/06 14:46:01:666',14,6,72,81,0.9
1799,'2024/06/06 14:46:01:697',14,4,73,80,0.9
1800,'2024/06/06 14:46:01:730',14,4,73,80,0.9
1801,'2024/06/06 14:46:01:760',14,3,75,77,0.9
1802,'2024/06/06 14:46:01:785',14,3,75,77,0.9
1803,'2024/06/06 14:46:01:812',14,3,76,76,0.9
1804,'2024/06/06 14:46:01:842',14,3,76,76,0.9
1805,'2024/06/06 14:46:01:871',14,3,76,75,0.9
1806,'2024/06/06 14:46:01:900',14,2,77,74,0.9
1807,'2024/06/06 14:46:01:927',14,3,76,75,0.9
1808,'2024/06/06 14:46:01:959',14,3,76,75,0.9
1809,'2024/06/06 14:46:01:989',14,2,76,76,0.9
1810,'2024/06/06 14:46:02:017',14,2,76,77,0.9
1811,'2024/06/06 14:46:02:045',14,2,76,79,0.9
1812,'2024/06/06 14:46:02:075',14,3,76,78,0.9
1813,'2024/06/06 14:46:02:105',14,3,74,80,0.9
1814,'2024/06/06 14:46:02:133',14,3,74,81,0.9
1815,'2024/06/06 14:46:02:163',14,3,74,83,0.9
1816,'2024/06/06 14:46:02:197',14,3,73,83,0.9
1817,'2024/06/06 14:46:02:231',14,4,73,86,0.9
1818,'2024/06/06 14:46:02:260',14,4,72,88,0.9
1819,'2024/06/06 14:46:02:295',14,4,71,89,0.9
1820,'2024/06/06 14:46:02:329',14,4,70,91,0.9
1821,'2024/06/06 14:46:04:555',15,3,35,145,0.9
1822,'2024/06/06 14:46:04:582',15,3,35,145,0.9
1823,'2024/06/06 14:46:04:607',15,3,35,145,0.9
1824,'2024/06/06 14:46:04:626',15,3,35,145,0.9
